member_name,member_start_date,member_end_date,political_party,administrative_region,gender,roles,government_name
αγατσα αριστειδη αριαδνη,2012-04-04,2012-04-11,ανεξαρτητοι (εκτος κομματος),βοιωτιας,female,[],['παπαδημου λουκα δ.(11/11/2011-17/05/2012)']
αγατσα αριστειδη αριαδνη,2009-10-04,2012-04-03,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας,female,[],"['καραμανλη α. κωνσταντινου(19/09/2007-07/10/2009)', 'παπανδρεου α. γεωργιου(06/10/2009-11/11/2011)', 'παπαδημου λουκα δ.(11/11/2011-17/05/2012)']"
αντωνιου αθανασιου χρηστος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,ημαθιας,male,[],"['θανου-χριστοφιλου βασιλικης (υπηρεσιακη)(27/08/2015-21/09/2015)', 'τσιπρα π. αλεξιου(21/09/2015-08/07/2019)']"
μαρκογιαννακης εμμανουηλ χρηστος,1989-06-18,1989-10-12,νεα δημοκρατια,χανιων,male,[],"['τζαννετακη τζαννη(02/07/1989-12/10/1989)', 'γριβα ιωαννη(12/10/1989-23/11/1989)']"
μαρκογιαννακης εμμανουηλ χρηστος,1989-11-05,1990-03-12,νεα δημοκρατια,χανιων,male,[],"['γριβα ιωαννη(12/10/1989-23/11/1989)', 'ζολωτα ξενοφωντα(23/11/1989-11/04/1990)']"
μαρκογιαννακης εμμανουηλ χρηστος,1990-04-08,1993-09-11,νεα δημοκρατια,χανιων,male,[],"['ζολωτα ξενοφωντα(23/11/1989-11/04/1990)', 'μητσοτακη κωνσταντινου(11/04/1990-13/10/1993)']"
μαρκογιαννακης εμμανουηλ χρηστος,1993-10-10,1996-08-24,νεα δημοκρατια,χανιων,male,[],"['μητσοτακη κωνσταντινου(11/04/1990-13/10/1993)', 'παπανδρεου ανδρεα(13/10/1993-22/01/1996)', 'σημιτη κωνσταντινου(22/01/1996-25/09/1996)']"
μαρκογιαννακης εμμανουηλ χρηστος,1996-09-22,2000-03-14,νεα δημοκρατια,χανιων,male,[],"['σημιτη κωνσταντινου(22/01/1996-25/09/1996)', 'σημιτη κωνσταντινου(25/09/1996-13/04/2000)']"
μαρκογιαννακης εμμανουηλ χρηστος,2000-04-09,2004-02-11,νεα δημοκρατια,χανιων,male,[],"['σημιτη κωνσταντινου(25/09/1996-13/04/2000)', 'σημιτη κωνσταντινου(13/04/2000-10/03/2004)']"
μαρκογιαννακης εμμανουηλ χρηστος,2004-03-07,2007-08-18,νεα δημοκρατια,χανιων,male,['υφυπουργος δημοσιας ταξης(03/10/2004-01/11/2006)'],"['σημιτη κωνσταντινου(13/04/2000-10/03/2004)', 'καραμανλη α. κωνσταντινου(10/03/2004-19/09/2007)']"
μαρκογιαννακης εμμανουηλ χρηστος,2007-09-16,2009-09-07,νεα δημοκρατια,χανιων,male,['αναπληρωτης υπουργος εσωτερικων(01/08/2009-10/07/2009)'],"['καραμανλη α. κωνσταντινου(10/03/2004-19/09/2007)', 'καραμανλη α. κωνσταντινου(19/09/2007-07/10/2009)']"
μαρκογιαννακης εμμανουηλ χρηστος,2010-08-19,2012-04-11,ανεξαρτητοι (εκτος κομματος),χανιων,male,[],"['παπανδρεου α. γεωργιου(06/10/2009-11/11/2011)', 'παπαδημου λουκα δ.(11/11/2011-17/05/2012)']"
μαρκογιαννακης εμμανουηλ χρηστος,2009-10-04,2010-08-18,νεα δημοκρατια,χανιων,male,[],"['καραμανλη α. κωνσταντινου(19/09/2007-07/10/2009)', 'παπανδρεου α. γεωργιου(06/10/2009-11/11/2011)']"
μαρκογιαννακης εμμανουηλ χρηστος,2012-06-17,2014-12-31,νεα δημοκρατια,χανιων,male,['γ αντιπροεδρος βουλης(29/06/2012-02/05/2015)'],"['πικραμμενου παναγιωτη οθ. (υπηρεσιακη)(17/05/2012-21/06/2012)', 'σαμαρα κ. αντωνιου(21/06/2012-26/01/2015)']"
μαρκοπουλος αθανασιου κωνσταντινος,2004-03-07,2007-08-18,νεα δημοκρατια,ευβοιας,male,[],"['σημιτη κωνσταντινου(13/04/2000-10/03/2004)', 'καραμανλη α. κωνσταντινου(10/03/2004-19/09/2007)']"
μαρκοπουλος αθανασιου κωνσταντινος,2007-09-16,2009-09-07,νεα δημοκρατια,ευβοιας,male,['υπουργος τουριστικης αναπτυξης(01/08/2009-10/07/2009)'],"['καραμανλη α. κωνσταντινου(10/03/2004-19/09/2007)', 'καραμανλη α. κωνσταντινου(19/09/2007-07/10/2009)']"
μαρκοπουλος αθανασιου κωνσταντινος,2012-04-03,2012-04-11,ανεξαρτητοι ελληνες - πανος καμμενος,ευβοιας,male,[],['παπαδημου λουκα δ.(11/11/2011-17/05/2012)']
μαρκοπουλος αθανασιου κωνσταντινος,2012-02-12,2012-04-02,ανεξαρτητοι (εκτος κομματος),ευβοιας,male,[],['παπαδημου λουκα δ.(11/11/2011-17/05/2012)']
μαρκοπουλος αθανασιου κωνσταντινος,2009-10-04,2012-02-11,νεα δημοκρατια,ευβοιας,male,[],"['καραμανλη α. κωνσταντινου(19/09/2007-07/10/2009)', 'παπανδρεου α. γεωργιου(06/10/2009-11/11/2011)', 'παπαδημου λουκα δ.(11/11/2011-17/05/2012)']"
