member_name,role,role_start_date,role_end_date,gender
αγγελικη γκερεκου,υφυπουργος πολιτισμου και τουρισμου,07/10/2009,21/05/2010,female
αγγελικη γκερεκου,υφυπουργος πολιτισμου και αθλητισμου,10/06/2014,27/01/2015,female
αγγελικη λαιου,υφυπουργος εξωτερικων,13/04/2000,20/11/2000,female
αγγελικη-ευφροσυνη κιαου-δημακου,υπουργος παιδειας δια βιου μαθησης και θρησκευματων,17/05/2012,21/06/2012,female
αγγελικη-ευφροσυνη κιαου-δημακου,υπουργος πολιτισμου παιδειας και θρησκευματων,28/08/2015,21/09/2015,female
αγγελος μπρατακος,υφυπουργος εσωτερικων,03/12/1992,13/10/1993,male
αγγελος τολκας,υφυπουργος στον πρωθυπουργο,03/08/2011,11/11/2011,male
αγγελος τολκας,υφυπουργος μεταναστευτικης πολιτικης,15/02/2019,09/07/2019,male
αδαμ ρεγκουζας,υφυπουργος οικονομιας και οικονομικων,10/03/2004,10/10/2005,male
αθανασια αναγνωστοπουλου,αναπληρωτης υπουργος εξωτερικων,18/07/2015,27/08/2015,female
αθανασια αναγνωστοπουλου,αναπληρωτης υπουργος παιδειας ερευνας και θρησκευματων,23/09/2015,05/11/2016,female
αθανασια αναγνωστοπουλου,αναπληρωτης υπουργος εξωτερικων,15/02/2019,09/07/2019,female
αθανασιος αλευρας,υφυπουργος περιβαλλοντος χωροταξιας και δημοσιων εργων,13/04/2000,24/10/2001,male
αθανασιος αλευρας,υφυπουργος πολιτισμου,24/10/2001,10/03/2004,male
αθανασιος γιαννοπουλος,υφυπουργος υγειας και κοινωνικης αλληλεγγυης,10/03/2004,19/09/2007,male
αθανασιος δαβακης,υφυπουργος εθνικης αμυνας,25/06/2013,10/06/2014,male
αθανασιος ηλιοπουλος,υφυπουργος εργασιας κοινωνικης ασφαλισης και κοινωνικης αλληλεγγυης,28/02/2018,15/02/2019,male
αθανασιος θεοχαροπουλος,υπουργος τουρισμου,04/05/2019,09/07/2019,male
αθανασιος κανελλοπουλος,υπουργος προεδριας της κυβερνησης,02/07/1989,12/10/1989,male
αθανασιος κανελλοπουλος,υπουργος δικαιοσυνης,11/04/1990,08/08/1991,male
αθανασιος κανελλοπουλος,αντιπροεδρος της κυβερνησης,08/08/1991,08/08/1991,male
αθανασιος κανελλοπουλος,υπουργος επικρατειας,08/08/1991,21/02/1992,male
αθανασιος μικρουτσικος,υπουργος πολιτισμου,16/03/1994,22/01/1996,male
αθανασιος μικρουτσικος,αναπληρωτης υπουργος πολιτισμου,13/10/1993,16/03/1994,male
αθανασιος μπουρας,υφυπουργος οικονομιας και οικονομικων,08/01/2009,07/10/2009,male
αθανασιος μωραιτης,υφυπουργος περιβαλλοντος ενεργειας και κλιματικης αλλαγης,07/10/2009,17/06/2011,male
αθανασιος μωραιτης,υφυπουργος αναπτυξης ανταγωνιστικοτητας και ναυτιλιας,27/06/2011,11/11/2011,male
αθανασιος μωραιτης,υφυπουργος αναπτυξης ανταγωνιστικοτητας και ναυτιλιας,11/11/2011,17/05/2012,male
αθανασιος μωραιτης,υφυπουργος υποδομων και μεταφορων,15/02/2019,09/07/2019,male
αθανασιος νακος,υφυπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,10/03/2004,19/09/2007,male
αθανασιος νακος,υφυπουργος εσωτερικων,19/09/2007,07/10/2009,male
αθανασιος ξαρχας,υπουργος εμποριου,11/04/1990,08/08/1991,male
αθανασιος σκορδας,υφυπουργος αναπτυξης ανταγωνιστικοτητας υποδομων μεταφορων και δικτυων,21/06/2012,25/06/2013,male
αθανασιος σκορδας,υφυπουργος αναπτυξης και ανταγωνιστικοτητας,25/06/2013,10/06/2014,male
αθανασιος τσαυταρης,υπουργος αγροτικης αναπτυξης και τροφιμων,21/06/2012,10/06/2014,male
αθανασιος τσουρας,υφυπουργος μεταφορων και επικοινωνιων,13/10/1993,15/09/1994,male
αθανασιος τσουρας,υπουργος μεταφορων και επικοινωνιων,15/09/1994,15/09/1995,male
αικατερινη μπατζελη,υπουργος αγροτικης αναπτυξης και τροφιμων,07/10/2009,07/09/2010,female
αικατερινη νοτοπουλου,υφυπουργος εσωτερικων,29/08/2018,15/02/2019,female
αικατερινη παπακωστα-σιδηροπουλου,υφυπουργος υγειας,10/06/2014,27/01/2015,female
αικατερινη παπακωστα-σιδηροπουλου,υφυπουργος προστασιας του πολιτη,29/08/2018,09/07/2019,female
αικατερινη παπανατσιου,υφυπουργος οικονομικων,05/11/2016,09/07/2019,female
αλεξανδρος ακριβακης,υφυπουργος γεωργιας,15/09/1995,22/01/1996,male
αλεξανδρος ακριβακης,υπουργος επικρατειας,07/07/2003,10/03/2004,male
αλεξανδρος βουλγαρης,υφυπουργος μεταφορων και επικοινωνιων,13/04/2000,24/10/2001,male
αλεξανδρος δαμιανιδης,υφυπουργος γεωργιας,15/09/1995,22/01/1996,male
αλεξανδρος δερμεντζοπουλος,υφυπουργος παιδειας και θρησκευματων,10/06/2014,27/01/2015,male
αλεξανδρος καλαφατης,υφυπουργος αναπτυξης,13/04/2000,10/03/2004,male
αλεξανδρος κοντος,υφυπουργος αγροτικης αναπτυξης και τροφιμων,10/03/2004,19/09/2007,male
αλεξανδρος κοντος,υπουργος αγροτικης αναπτυξης και τροφιμων,19/09/2007,07/01/2009,male
αλεξανδρος μπαλτας,υφυπουργος εμποριου,13/10/1993,08/07/1994,male
αλεξανδρος μπαλτας,υφυπουργος γεωργιας,22/01/1996,25/09/1996,male
αλεξανδρος μπαλτας,υφυπουργος εθνικης οικονομιας,25/09/1996,23/06/1999,male
αλεξανδρος παπαδογγονας,υπουργος εμπορικης ναυτιλιας,03/12/1992,13/10/1993,male
αλεξανδρος παπαδογγονας,αναπληρωτης υπουργος εθνικης αμυνας,11/04/1990,08/08/1991,male
αλεξανδρος παπαδοπουλος,υφυπουργος οικονομικων,13/10/1993,25/02/1994,male
αλεξανδρος παπαδοπουλος,υπουργος οικονομικων,25/02/1994,22/01/1996,male
αλεξανδρος παπαδοπουλος,υπουργος οικονομικων,22/01/1996,25/09/1996,male
αλεξανδρος παπαδοπουλος,υπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,25/09/1996,19/02/1999,male
αλεξανδρος παπαδοπουλος,υπουργος υγειας και προνοιας,13/04/2000,13/06/2002,male
αλεξανδρος φλαμπουραρης,υπουργος επικρατειας,27/01/2015,27/08/2015,male
αλεξανδρος φλαμπουραρης,υπουργος επικρατειας,23/09/2015,09/07/2019,male
αλεξανδρος χαριτσης,αναπληρωτης υπουργος οικονομιας και αναπτυξης,05/11/2016,29/08/2018,male
αλεξανδρος χαριτσης,υπουργος εσωτερικων,29/08/2018,13/06/2019,male
αλεξανδρος χαριτσης,υφυπουργος οικονομιας αναπτυξης και τουρισμου,23/09/2015,05/11/2016,male
αλεξιος τσιπρας,πρωθυπουργος,26/01/2015,27/08/2015,male
αλεξιος τσιπρας,υπουργος εξωτερικων,20/10/2018,15/02/2019,male
αλεξιος τσιπρας,πρωθυπουργος,21/09/2015,08/07/2019,male
αλκηστις αττικιουζελ (πρωτοψαλτη),αναπληρωτης υπουργος οικονομιας υποδομων ναυτιλιας και τουρισμου,28/08/2015,21/09/2015,female
αλκιβιαδης στεφανης,υφυπουργος εθνικης αμυνας,09/07/2019,27/07/2020,male
αμαλια-μαρια μερκουρη (μελινα),υπουργος πολιτισμου,13/10/1993,06/03/1994,female
αναργυρος φατουρου,υπουργος δικαιοσυνης,30/08/1996,25/09/1996,male
αναργυρος φατουρου,υπουργος τυπου και μεσων μαζικης ενημερωσης,20/03/2000,13/04/2000,male
αναστασια χριστοδουλοπουλου,αναπληρωτης υπουργος εσωτερικων και διοικητικης ανασυγκροτησης,21/03/2015,27/08/2015,female
αναστασιος γιαννιτσης,αναπληρωτης υπουργος εξωτερικων,24/10/2001,13/02/2004,male
αναστασιος γιαννιτσης,υπουργος εξωτερικων,13/02/2004,10/03/2004,male
αναστασιος γιαννιτσης,υπουργος εργασιας και κοινωνικων ασφαλισεων,13/04/2000,24/10/2001,male
αναστασιος γιαννιτσης,υπουργος εσωτερικων,11/11/2011,17/05/2012,male
αναστασιος κουρακης,αναπληρωτης υπουργος πολιτισμου παιδειας και θρησκευματων,27/01/2015,27/08/2015,male
αναστασιος λιασκος,υφυπουργος τουρισμου,18/03/2004,15/02/2006,male
αναστασιος μαντελης,υφυπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,25/09/1996,02/09/1997,male
αναστασιος μαντελης,υπουργος μεταφορων και επικοινωνιων,02/09/1997,13/04/2000,male
αναστασιος νεραντζης,υφυπουργος μεταφορων και επικοινωνιων,10/03/2004,15/02/2006,male
αναστασιος νεραντζης,υφυπουργος αναπτυξης,15/02/2006,19/09/2007,male
αναστασιος παπαληγουρας,υπουργος δικαιοσυνης,10/03/2004,19/09/2007,male
αναστασιος παπαληγουρας,υπουργος εμπορικης ναυτιλιας αιγαιου και νησιωτικης πολιτικης,13/09/2008,07/10/2009,male
αναστασιος πεπονης,υπουργος βιομηχανιας ενεργειας και τεχνολογιας,23/11/1989,13/02/1990,male
αναστασιος πεπονης,υπουργος βιομηχανιας ενεργειας και τεχνολογιας,15/09/1995,22/01/1996,male
αναστασιος πεπονης,υπουργος δικαιοσυνης,10/02/1995,15/09/1995,male
αναστασιος πεπονης,υπουργος προεδριας της κυβερνησης,13/10/1993,28/12/1994,male
αναστασιος πεπονης,υπουργος υγειας και προνοιας,22/01/1996,25/09/1996,male
αναστασιος πετροπουλος,υφυπουργος εργασιας κοινωνικης ασφαλισης και κοινωνικης αλληλεγγυης,23/09/2015,09/07/2019,male
αναστασιος σπηλιοπουλος,υφυπουργος εθνικης παιδειας και θρησκευματων,03/12/1992,13/10/1993,male
ανδρεας ανδριανοπουλος,υπουργος εμποριου,02/07/1989,12/10/1989,male
ανδρεας ανδριανοπουλος,υπουργος βιομηχανιας ενεργειας και τεχνολογιας,08/08/1991,07/08/1992,male
ανδρεας ανδριανοπουλος,υπουργος εμποριου,08/08/1991,07/08/1992,male
ανδρεας ανδριανοπουλος,υπουργος επικρατειας,07/08/1992,11/05/1993,male
ανδρεας καραγκουνης,υφυπουργος γεωργιας,03/12/1992,13/10/1993,male
