gov_name,date_from,date_to,gov_url
τζαννετακη τζαννη,1989-07-02,1989-10-12,https://gslegal.gov.gr/?p=1294
γριβα ιωαννη,1989-10-12,1989-11-23,https://gslegal.gov.gr/?p=1297
ζολωτα ξενοφωντα,1989-11-23,1990-04-11,https://gslegal.gov.gr/?p=1301
μητσοτακη κωνσταντινου,1990-04-11,1993-10-13,https://gslegal.gov.gr/?p=1304
παπανδρεου ανδρεα,1993-10-13,1996-01-22,https://gslegal.gov.gr/?p=1307
σημιτη κωνσταντινου,1996-01-22,1996-09-25,https://gslegal.gov.gr/?p=1310
σημιτη κωνσταντινου,1996-09-25,2000-04-13,https://gslegal.gov.gr/?p=1315
σημιτη κωνσταντινου,2000-04-13,2004-03-10,https://gslegal.gov.gr/?p=1320
καραμανλη α. κωνσταντινου,2004-03-10,2007-09-19,https://gslegal.gov.gr/?p=1323
καραμανλη α. κωνσταντινου,2007-09-19,2009-10-07,https://gslegal.gov.gr/?p=1328
παπανδρεου α. γεωργιου,2009-10-06,2011-11-11,https://gslegal.gov.gr/?p=1335
παπαδημου λουκα δ.,2011-11-11,2012-05-17,https://gslegal.gov.gr/?p=2299
πικραμμενου παναγιωτη οθ. (υπηρεσιακη),2012-05-17,2012-06-21,https://gslegal.gov.gr/?p=2788
σαμαρα κ. αντωνιου,2012-06-21,2015-01-26,https://gslegal.gov.gr/?p=2880
τσιπρα π. αλεξιου,2015-01-26,2015-08-27,https://gslegal.gov.gr/?p=4396
θανου-χριστοφιλου βασιλικης (υπηρεσιακη),2015-08-27,2015-09-21,https://gslegal.gov.gr/?p=4888
τσιπρα π. αλεξιου,2015-09-21,2019-07-08,https://gslegal.gov.gr/?p=4915
μητσοτακη κυριακου,2019-07-08,2020-07-28,https://gslegal.gov.gr/?p=6637
