member_name,member_start_date,member_end_date,political_party,administrative_region,gender
αγατσα αριστειδη αριαδνη,2012-04-04,2012-04-11,ανεξαρτητοι (εκτος κομματος),βοιωτιας,female
αγατσα αριστειδη αριαδνη,2009-10-04,2012-04-03,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας,female
αντωνιου αθανασιου χρηστος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,ημαθιας,male
μαρκογιαννακης εμμανουηλ χρηστος,1989-06-18,1989-10-12,νεα δημοκρατια,χανιων,male
μαρκογιαννακης εμμανουηλ χρηστος,1989-11-05,1990-03-12,νεα δημοκρατια,χανιων,male
μαρκογιαννακης εμμανουηλ χρηστος,1990-04-08,1993-09-11,νεα δημοκρατια,χανιων,male
μαρκογιαννακης εμμανουηλ χρηστος,1993-10-10,1996-08-24,νεα δημοκρατια,χανιων,male
μαρκογιαννακης εμμανουηλ χρηστος,1996-09-22,2000-03-14,νεα δημοκρατια,χανιων,male
μαρκογιαννακης εμμανουηλ χρηστος,2000-04-09,2004-02-11,νεα δημοκρατια,χανιων,male
μαρκογιαννακης εμμανουηλ χρηστος,2004-03-07,2007-08-18,νεα δημοκρατια,χανιων,male
μαρκογιαννακης εμμανουηλ χρηστος,2007-09-16,2009-09-07,νεα δημοκρατια,χανιων,male
μαρκογιαννακης εμμανουηλ χρηστος,2010-08-19,2012-04-11,ανεξαρτητοι (εκτος κομματος),χανιων,male
μαρκογιαννακης εμμανουηλ χρηστος,2009-10-04,2010-08-18,νεα δημοκρατια,χανιων,male
μαρκογιαννακης εμμανουηλ χρηστος,2012-06-17,2014-12-31,νεα δημοκρατια,χανιων,male
μαρκοπουλος αθανασιου κωνσταντινος,2004-03-07,2007-08-18,νεα δημοκρατια,ευβοιας,male
μαρκοπουλος αθανασιου κωνσταντινος,2007-09-16,2009-09-07,νεα δημοκρατια,ευβοιας,male
μαρκοπουλος αθανασιου κωνσταντινος,2012-04-03,2012-04-11,ανεξαρτητοι ελληνες - πανος καμμενος,ευβοιας,male
μαρκοπουλος αθανασιου κωνσταντινος,2012-02-12,2012-04-02,ανεξαρτητοι (εκτος κομματος),ευβοιας,male
μαρκοπουλος αθανασιου κωνσταντινος,2009-10-04,2012-02-11,νεα δημοκρατια,ευβοιας,male
μαρκοπουλος αθανασιου κωνσταντινος,2012-05-06,2012-05-19,ανεξαρτητοι ελληνες - πανος καμμενος,ευβοιας,male
μαρκοπουλος αθανασιου κωνσταντινος,2013-07-01,2014-12-31,νεα δημοκρατια,ευβοιας,male
μαρκοπουλος αθανασιου κωνσταντινος,2012-12-13,2013-06-30,ανεξαρτητοι (εκτος κομματος),ευβοιας,male
μαρκοπουλος αθανασιου κωνσταντινος,2012-06-17,2012-12-12,ανεξαρτητοι ελληνες - πανος καμμενος,ευβοιας,male
μαρκοπουλος αντωνιου χρηστος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,επικρατειας,male
μαρκοπουλος κωνσταντινου δημητριος,2019-07-07,2020-07-25,νεα δημοκρατια,β' πειραιως,male
μαρκου βασιλειου κωνσταντινος,2019-07-07,2020-07-25,συνασπισμος ριζοσπαστικης αριστερας,αχαιας,male
μαρκου δημοσθενη αικατερινη,2012-05-06,2012-05-19,δημοκρατικη αριστερα,β' θεσσαλονικης,female
μαρκου δημοσθενη αικατερινη,2014-07-10,2014-12-31,ανεξαρτητοι (εκτος κομματος),β' θεσσαλονικης,female
μαρκου δημοσθενη αικατερινη,2012-06-17,2014-07-09,δημοκρατικη αριστερα,β' θεσσαλονικης,female
μαρκου δημοσθενη αικατερινη,2015-01-25,2015-08-28,το ποταμι,β' θεσσαλονικης,female
μαρκου δημοσθενη αικατερινη,2018-02-28,2019-04-25,νεα δημοκρατια,β' θεσσαλονικης,female
μαρκου δημοσθενη αικατερινη,2016-11-21,2018-02-27,ανεξαρτητοι (εκτος κομματος),β' θεσσαλονικης,female
μαρκου δημοσθενη αικατερινη,2015-09-20,2016-11-20,το ποταμι,β' θεσσαλονικης,female
μαρουδας ιωαννη δημητριος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,ζακυνθου,male
μαρτινου αθανασιου γεωργια,2012-05-06,2012-05-19,νεα δημοκρατια,αττικης,female
μαρτινου αθανασιου γεωργια,2012-06-17,2014-12-31,νεα δημοκρατια,αττικης,female
μαρτινου αθανασιου γεωργια,2015-01-25,2015-08-28,νεα δημοκρατια,αττικης,female
μαρτινου αθανασιου γεωργια,2015-09-20,2019-06-11,νεα δημοκρατια,αττικης,female
μαρτινου αθανασιου γεωργια,2019-07-07,2020-07-25,νεα δημοκρατια,α' ανατολικης αττικης,female
ματζαπετακης εμμανουηλ στυλιανος,1989-06-18,1989-10-12,νεα δημοκρατια,ηρακλειου,male
ματζαπετακης εμμανουηλ στυλιανος,1990-04-08,1993-09-11,νεα δημοκρατια,ηρακλειου,male
ματζαπετακης εμμανουηλ στυλιανος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,ηρακλειου,male
ματζαπετακης εμμανουηλ στυλιανος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,ηρακλειου,male
ματης δημητριου αθανασιος,1989-11-05,1990-03-08,πανελληνιο σοσιαλιστικο κινημα,τρικαλων,male
ματης δημητριου αθανασιος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,τρικαλων,male
ματης δημητριου αθανασιος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,τρικαλων,male
ματης δημητριου αθανασιος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,τρικαλων,male
ματθαιοπουλος παυλου αρτεμιος,2012-07-23,2014-12-31,λαικος συνδεσμος - χρυση αυγη,σερρων,male
ματθαιοπουλος παυλου αρτεμιος,2015-01-25,2015-08-28,λαικος συνδεσμος - χρυση αυγη,σερρων,male
ματραγκας διονυσιου ηρακλης,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,ηλειας,male
ματραγκας διονυσιου ηρακλης,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,ηλειας,male
μαυραγανης ανδρεα νικολαος,2015-01-25,2015-08-28,ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,ευβοιας,male
μαυρατζωτης εμμανουηλ δημητριος,2012-05-06,2012-05-19,κομμουνιστικο κομμα ελλαδας,σαμου,male
μαυρικος εμμανουηλ γεωργιος,2007-09-16,2009-09-07,κομμουνιστικο κομμα ελλαδας,β' αθηνων,male
μαυρικος εμμανουηλ γεωργιος,2009-10-04,2012-04-11,κομμουνιστικο κομμα ελλαδας,β' αθηνων,male
μαυροδογλου ζαφειριου διαμαντης,1989-01-01,1989-06-02,κομμουνιστικο κομμα ελλαδας,β' αθηνων,male
αντωνιου βασιλειου μαρια,2012-05-06,2012-05-19,νεα δημοκρατια,καστοριας,female
αντωνιου βασιλειου μαρια,2012-06-17,2014-12-31,νεα δημοκρατια,καστοριας,female
αντωνιου βασιλειου μαρια,2015-01-25,2015-08-28,νεα δημοκρατια,καστοριας,female
αντωνιου βασιλειου μαρια,2015-09-20,2019-06-11,νεα δημοκρατια,καστοριας,female
μαυρος ιωαννη γεωργιος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,επικρατειας,male
μαυρωτας παρασκευα γεωργιος,2015-01-25,2015-08-28,το ποταμι,αττικης,male
μαυρωτας παρασκευα γεωργιος,2019-05-07,2019-06-11,το ποταμι,αττικης(υπολοιπο),male
μαυρωτας παρασκευα γεωργιος,2019-01-21,2019-05-06,ανεξαρτητοι (εκτος κομματος),αττικης(υπολοιπο),male
μαυρωτας παρασκευα γεωργιος,2015-09-20,2019-01-20,το ποταμι,αττικης,male
μαχαιρα ανδρεα μαρια,1993-10-10,1996-08-24,πολιτικη ανοιξη,α' πειραιως,female
μεγαλομυστακας χρηστου αναστασιος,2019-05-30,2019-06-11,ανεξαρτητοι (εκτος κομματος),σερρων,male
μεγαλομυστακας χρηστου αναστασιος,2015-09-20,2019-05-29,ενωση κεντρωων,σερρων,male
μεγαλοοικονομου πασχαλη θεοδωρα,2019-05-28,2019-06-11,ανεξαρτητοι (εκτος κομματος),β' πειραιως,female
μεγαλοοικονομου πασχαλη θεοδωρα,2018-01-15,2019-05-27,συνασπισμος ριζοσπαστικης αριστερας,β' πειραιως,female
μεγαλοοικονομου πασχαλη θεοδωρα,2017-07-10,2018-01-14,ανεξαρτητοι (εκτος κομματος),β' πειραιως,female
μεγαλοοικονομου πασχαλη θεοδωρα,2015-09-20,2017-07-09,ενωση κεντρωων,β' πειραιως,female
μεικοπουλος μιχαηλ αλεξανδρος,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,μαγνησιας,male
μεικοπουλος μιχαηλ αλεξανδρος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,μαγνησιας,male
μεικοπουλος μιχαηλ αλεξανδρος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,μαγνησιας,male
μεικοπουλος μιχαηλ αλεξανδρος,2019-07-07,2020-07-25,συνασπισμος ριζοσπαστικης αριστερας,μαγνησιας,male
μειμαρακης ιωαννη ευαγγελος-βασιλειος,1989-06-18,1989-10-12,νεα δημοκρατια,β' αθηνων,male
μειμαρακης ιωαννη ευαγγελος-βασιλειος,1989-11-05,1990-03-12,νεα δημοκρατια,β' αθηνων,male
μειμαρακης ιωαννη ευαγγελος-βασιλειος,1990-04-08,1993-09-11,νεα δημοκρατια,β' αθηνων,male
μειμαρακης ιωαννη ευαγγελος-βασιλειος,1993-10-10,1996-08-24,νεα δημοκρατια,β' αθηνων,male
μειμαρακης ιωαννη ευαγγελος-βασιλειος,1996-09-22,2000-03-14,νεα δημοκρατια,β' αθηνων,male
μειμαρακης ιωαννη ευαγγελος-βασιλειος,2000-04-09,2004-02-11,νεα δημοκρατια,β' αθηνων,male
μειμαρακης ιωαννη ευαγγελος-βασιλειος,2004-03-07,2007-08-18,νεα δημοκρατια,β' αθηνων,male
μειμαρακης ιωαννη ευαγγελος-βασιλειος,2007-09-16,2009-09-07,νεα δημοκρατια,β' αθηνων,male
μειμαρακης ιωαννη ευαγγελος-βασιλειος,2009-10-04,2012-04-11,νεα δημοκρατια,β' αθηνων,male
μειμαρακης ιωαννη ευαγγελος-βασιλειος,2012-05-06,2012-05-19,νεα δημοκρατια,β' αθηνων,male
μειμαρακης ιωαννη ευαγγελος-βασιλειος,2012-06-17,2014-12-31,νεα δημοκρατια,β' αθηνων,male
μειμαρακης ιωαννη ευαγγελος-βασιλειος,2015-01-25,2015-08-28,νεα δημοκρατια,β' αθηνων,male
μειμαρακης ιωαννη ευαγγελος-βασιλειος,2015-09-20,2019-04-25,νεα δημοκρατια,β' αθηνων,male
μελα παυλου παναγιωτα-ευα,2007-09-16,2009-09-07,κομμουνιστικο κομμα ελλαδας,β' αθηνων,female
μελας ιωαννη παναγιωτης,1994-11-17,1996-08-24,νεα δημοκρατια,α' πειραιως,male
μελας ιωαννη παναγιωτης,1996-09-22,2000-03-14,νεα δημοκρατια,α' πειραιως,male
μελας ιωαννη παναγιωτης,2000-04-09,2004-02-11,νεα δημοκρατια,α' πειραιως,male
μελας ιωαννη παναγιωτης,2004-03-07,2007-08-18,νεα δημοκρατια,α' πειραιως,male
μελας ιωαννη παναγιωτης,2007-09-16,2009-09-07,νεα δημοκρατια,α' πειραιως,male
μελας ιωαννη παναγιωτης,2012-04-03,2012-04-11,ανεξαρτητοι ελληνες - πανος καμμενος,α' πειραιως,male
μελας ιωαννη παναγιωτης,2012-02-12,2012-04-02,ανεξαρτητοι (εκτος κομματος),α' πειραιως,male
μελας ιωαννη παναγιωτης,2010-10-07,2012-02-11,νεα δημοκρατια,α' πειραιως,male
μελας ιωαννη παναγιωτης,2012-05-06,2012-05-19,ανεξαρτητοι ελληνες - πανος καμμενος,α' πειραιως,male
μελας ιωαννη παναγιωτης,2014-12-03,2014-12-31,ανεξαρτητοι δημοκρατικοι βουλευτες,α' πειραιως,male
μελας ιωαννη παναγιωτης,2014-12-03,2014-12-02,ανεξαρτητοι δημοκρατικοι βουλευτες,α' πειραιως,male
μελας ιωαννη παναγιωτης,2014-12-01,2014-12-02,ανεξαρτητοι (εκτος κομματος),α' πειραιως,male
μελας ιωαννη παναγιωτης,2012-06-17,2014-11-30,ανεξαρτητοι ελληνες - πανος καμμενος,α' πειραιως,male
αντωνιου δημητριου χρηστος,1989-11-05,1990-03-12,νεα δημοκρατια,μαγνησιας,male
αντωνιου δημητριου χρηστος,1990-04-08,1993-09-11,νεα δημοκρατια,μαγνησιας,male
